clade_name	MS11669_jun23_nreads	MS11670_jun23_nreads	MS11673_jun23_nreads	MS11674_jun23_nreads	MS11675_jun23_nreads	MS11676_jun23_nreads	MS11677_jun23_nreads	MS11678_jun23_nreads	MS11679_jun23_nreads	MS11683_jun23_nreads	MS11684_jun23_nreads	MS11686_jun23_nreads	MS11770_jun23_nreads	MS11771_jun23_nreads	MS11774_jun23_nreads	MS11775_jun23_nreads
s__GGB79301_SGB105706	0.0	0.00682	0.0	0.0	0.0	1.62605	1.4241	1.48811	0.09602	0.09926	0.70475	0.0	1.33807	0.0	0.0	0.0
s__Clostridium_SGB5112	0.0	0.00591	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lentihominibacter_faecis	0.0	0.00365	0.0	0.0	0.0	0.0	0.0	0.12143	0.0	0.0	0.0	0.0	0.09348	0.0	0.0	0.0
s__Terrisporobacter_mayombei	0.0	0.00363	0.0	0.27139	0.0	0.08724	0.0	0.11337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3730_SGB5060	0.0	0.00319	0.0	0.0	0.0	0.0	0.0	0.05808	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Clostridium_sp_CS001	0.0	0.00119	0.0	0.0	0.0	0.01207	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00011
s__Enterococcus_faecium	0.0	0.0	2.01248	1.97575	0.0	0.00377	0.0	0.0	0.04824	0.05565	0.0	0.0	0.48006	3.66753	0.18686	0.05663
s__Yaniella_halotolerans	0.0	0.0	1.29743	0.2064	0.0	0.0441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3440_SGB4589	0.0	0.0	0.70494	0.03612	0.7168	0.0	0.0428	0.3673	0.0	0.0	0.98123	1.10806	0.97101	0.00534	1.09006	1.6392
s__GGB3600_SGB4859	0.0	0.0	0.64467	0.1624	0.87563	3.41004	0.0	0.03298	0.28339	0.72885	1.3853	0.0	0.2337	0.0	0.9697	1.87497
s__GGB3051_SGB4051	0.0	0.0	0.63685	0.0	0.10142	0.09787	0.07595	0.11883	0.23093	0.26973	0.02013	0.11009	0.30983	0.0	0.7619	0.0
s__Jeotgalicoccus_halotolerans	0.0	0.0	0.62806	0.0	0.0	0.03469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB89632_SGB125949	0.0	0.0	0.42135	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3602_SGB4865	0.0	0.0	0.33844	0.0825	0.8328	0.28314	0.01095	0.28462	0.07728	0.09009	0.0	0.84811	0.0	0.0263	0.81879	2.04262
s__GGB3433_SGB4574	0.0	0.0	0.23857	0.0	0.15217	0.0	0.0	0.0	0.0	0.0	0.0	0.01476	0.0	0.0	0.31828	0.69948
s__Sutterella_wadsworthensis	0.0	0.0	0.23517	0.0	0.01057	0.29923	0.39961	0.386	0.16666	0.25585	0.60644	2.04511	0.48105	0.13597	0.72994	0.03023
s__Lachnospiraceae_unclassified_SGB65957	0.0	0.0	0.19909	0.0	0.17128	3.21561	0.0	0.71307	0.01027	0.01367	0.0	0.0	1.13453	0.20621	0.0	0.19637
s__GGB41005_SGB56035	0.0	0.0	0.09908	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB87586_SGB122575	0.0	0.0	0.07686	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB3441_SGB4591	0.0	0.0	0.07342	0.00332	1.53317	0.00172	0.53548	0.02827	0.0	0.02158	0.19343	0.80995	0.81228	0.0	1.51741	0.68435
s__Coprococcus_sp_AF21_14LB	0.0	0.0	0.06097	0.02806	0.23525	0.02212	0.08998	0.0446	0.02993	0.0469	0.38355	0.89027	0.0	0.00612	0.87319	0.43313
s__Acrocarpospora_corrugata	0.0	0.0	0.04666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB4379_SGB70926	0.0	0.0	0.04231	0.05143	0.69121	0.35034	0.43966	0.23441	0.08026	0.13033	1.2888	0.43194	0.0	0.00207	0.81148	0.22352
s__GGB37210_SGB54391	0.0	0.0	0.02241	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB44870_SGB62355	0.0	0.0	0.01147	0.0	0.0	0.0	0.0	0.0	0.0	0.01207	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB52697_SGB73595	0.0	0.0	0.00909	0.0	0.0	0.0	0.0	0.0	0.0	0.0087	0.0	0.0	0.0	0.0	0.0	0.0
s__Ferrovibrio_terrae	0.0	0.0	0.00894	0.0	0.0	0.0	0.08904	0.00351	0.0	0.0	0.0	0.0	0.0	0.0	0.02893	0.0
s__Limimonas_halophila	0.0	0.0	0.00883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__GGB39851_SGB89662	0.0	0.0	0.00866	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
s__Lactococcus_petauri	0.0	0.0	0.0	14.86752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.36781	0.0	0.0
