TAXID,MS11679_kraken_2024-standard_conf0,MS11669_kraken_2024-standard_conf0,MS11774_kraken_2024-standard_conf0,MS11675_kraken_2024-standard_conf0,MS11683_kraken_2024-standard_conf0,MS11686_kraken_2024-standard_conf0,MS11673_kraken_2024-standard_conf0,MS11771_kraken_2024-standard_conf0,MS11775_kraken_2024-standard_conf0,MS11677_kraken_2024-standard_conf0,MS11670_kraken_2024-standard_conf0,MS11770_kraken_2024-standard_conf0,MS11676_kraken_2024-standard_conf0,MS11674_kraken_2024-standard_conf0,MS11684_kraken_2024-standard_conf0,MS11678_kraken_2024-standard_conf0
2617518,2665.0,380.0,2192.0,511.0,1101.0,1710.0,246.0,234.0,0.0,544.0,214.0,396.0,317.0,0.0,397.0,2763.0
2975986,472.0,0.0,732.0,0.0,320.0,673.0,0.0,0.0,0.0,136.0,0.0,0.0,0.0,0.0,0.0,151.0
3156396,267.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2903585,177.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.0
2975977,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.0
3018339,123.0,0.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0
709868,258.0,0.0,1091.0,0.0,0.0,109.0,0.0,0.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,1681.0
47858,247.0,0.0,240.0,0.0,107.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
356851,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35753,318.0,196.0,2097.0,229.0,1096.0,190.0,175.0,162.0,0.0,4222.0,361.0,150.0,148.0,0.0,216.0,623.0
47989,106.0,0.0,936.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,242.0
1865,159.0,188.0,323.0,0.0,316.0,124.0,0.0,122.0,0.0,157.0,0.0,116.0,0.0,0.0,0.0,208.0
85011,38444.0,28483.0,52178.0,78924.0,23202.0,81835.0,8644.0,9288.0,3739.0,8957.0,1968.0,47106.0,4511.0,1334.0,57098.0,14551.0
2062,38444.0,28483.0,52178.0,78924.0,23202.0,81835.0,8644.0,9288.0,3739.0,8957.0,1968.0,47106.0,4511.0,1334.0,57098.0,14551.0
1883,36344.0,27386.0,46158.0,75264.0,20856.0,78524.0,8099.0,8526.0,3469.0,8209.0,1741.0,46022.0,4052.0,1245.0,53972.0,13022.0
2593676,3977.0,5600.0,11564.0,11469.0,4432.0,4649.0,4265.0,1824.0,727.0,1497.0,595.0,14259.0,1059.0,282.0,8616.0,3352.0
1736046,327.0,0.0,0.0,766.0,265.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3096009,225.0,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157.0,0.0,0.0,0.0,0.0
2903752,142.0,121.0,0.0,199.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,340.0,0.0
35620,1113.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231.0,0.0
1477431,645.0,147.0,0.0,0.0,0.0,1966.0,0.0,0.0,0.0,0.0,0.0,1275.0,0.0,0.0,239.0,0.0
1886,599.0,134.0,0.0,0.0,0.0,1872.0,0.0,0.0,0.0,0.0,0.0,1261.0,0.0,0.0,211.0,0.0
629295,354.0,4734.0,891.0,6972.0,292.0,103.0,112.0,0.0,453.0,564.0,0.0,7005.0,0.0,0.0,2244.0,236.0
1482601,126.0,1295.0,654.0,763.0,146.0,0.0,0.0,0.0,336.0,216.0,0.0,1291.0,0.0,0.0,0.0,0.0
1919,126.0,1295.0,654.0,763.0,146.0,0.0,0.0,0.0,336.0,216.0,0.0,1291.0,0.0,0.0,0.0,0.0
2849069,223.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0
53451,223.0,142.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0
67345,172.0,0.0,0.0,0.0,279.0,314.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,444.0,0.0
3031124,129.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,240.0,0.0
2063,122.0,0.0,513.0,0.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,161.0
85009,30855.0,15155.0,2498.0,3302.0,24428.0,5871.0,628.0,2238.0,1736.0,3050.0,480.0,1684.0,1895.0,372.0,2055.0,3227.0
85015,28797.0,14134.0,1693.0,2762.0,21880.0,5370.0,420.0,1878.0,1428.0,2686.0,301.0,1362.0,1580.0,266.0,1711.0,2665.0
1839,24189.0,12456.0,1233.0,1592.0,17274.0,4264.0,296.0,1402.0,988.0,2107.0,220.0,1051.0,1140.0,200.0,1234.0,2197.0
2615069,8994.0,6044.0,309.0,395.0,4406.0,1786.0,0.0,443.0,223.0,576.0,0.0,324.0,297.0,0.0,371.0,921.0
2840457,5797.0,4341.0,0.0,0.0,1905.0,1098.0,0.0,191.0,0.0,163.0,0.0,0.0,0.0,0.0,126.0,519.0
196162,256.0,171.0,0.0,0.0,159.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2931390,151.0,0.0,0.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,0.0,0.0,0.0,0.0
2898796,142.0,0.0,0.0,0.0,121.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2763008,108.0,0.0,0.0,0.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2996826,108.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110319,102.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
402297,169.0,0.0,0.0,0.0,204.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
